name,gender,medal_type,country,event,discipline,url
LEE Matty,Male,Gold ,Great Britain,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1444130-lee-matty.htm
CAO Yuan,Male,Silver ,People's Republic of China,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1329531-cao-yuan.htm
CHEN Aisen,Male,Silver ,People's Republic of China,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1329918-chen-aisen.htm
BONDAR Aleksandr,Male,Bronze ,ROC,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1406332-bondar-aleksandr.htm
MINIBAEV Viktor,Male,Bronze ,ROC,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1406344-minibaev-viktor.htm
CHEUNG Ka Long,Male,Gold ,"Hong Kong, China",Men's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1431181-cheung-ka-long.htm
GAROZZO Daniele,Male,Silver ,Italy,Men's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1398516-garozzo-daniele.htm
CHOUPENITCH Alexander,Male,Bronze ,Czech Republic,Men's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1408686-choupenitch-alexander.htm
POZDNIAKOVA Sofia,Female,Gold ,ROC,Women's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1428153-pozdniakova-sofia.htm
VELIKAYA Sofya,Female,Silver ,ROC,Women's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1428151-velikaya-sofya.htm
BRUNET Manon,Female,Bronze ,France,Women's Sabre Individual,Fencing,../../../en/results/fencing/athlete-profile-n1351055-brunet-manon.htm
ONO Shohei,Male,Gold ,Japan,Men -73 kg,Judo,../../../en/results/judo/athlete-profile-n1315344-ono-shohei.htm
SHAVDATUASHVILI Lasha,Male,Silver ,Georgia,Men -73 kg,Judo,../../../en/results/judo/athlete-profile-n1286459-shavdatuashvili-lasha.htm
AN Changrim,Male,Bronze ,Republic of Korea,Men -73 kg,Judo,../../../en/results/judo/athlete-profile-n1323212-an-changrim.htm
TSEND-OCHIR Tsogtbaatar,Male,Bronze ,Mongolia,Men -73 kg,Judo,../../../en/results/judo/athlete-profile-n1323961-tsend-ochir-tsogtbaatar.htm
GJAKOVA Nora,Female,Gold ,Kosovo,Women -57 kg,Judo,../../../en/results/judo/athlete-profile-n1327870-gjakova-nora.htm
CYSIQUE Sarah Leonie,Female,Silver ,France,Women -57 kg,Judo,../../../en/results/judo/athlete-profile-n1403695-cysique-sarah-leonie.htm
KLIMKAIT Jessica,Female,Bronze ,Canada,Women -57 kg,Judo,../../../en/results/judo/athlete-profile-n1433444-klimkait-jessica.htm
YOSHIDA Tsukasa,Female,Bronze ,Japan,Women -57 kg,Judo,../../../en/results/judo/athlete-profile-n1315322-yoshida-tsukasa.htm
HANCOCK Vincent,Male,Gold ,United States of America,Skeet Men,Shooting,../../../en/results/shooting/athlete-profile-n1335413-hancock-vincent.htm
HANSEN Jesper,Male,Silver ,Denmark,Skeet Men,Shooting,../../../en/results/shooting/athlete-profile-n1366749-hansen-jesper.htm
ALRASHIDI Abdullah,Male,Bronze ,Kuwait,Skeet Men,Shooting,../../../en/results/shooting/athlete-profile-n1895506-alrashidi-abdullah.htm
ENGLISH Amber,Female,Gold ,United States of America,Skeet Women,Shooting,../../../en/results/shooting/athlete-profile-n1335325-english-amber.htm
BACOSI Diana,Female,Silver ,Italy,Skeet Women,Shooting,../../../en/results/shooting/athlete-profile-n1351194-bacosi-diana.htm
WEI Meng,Female,Bronze ,People's Republic of China,Skeet Women,Shooting,../../../en/results/shooting/athlete-profile-n1302164-wei-meng.htm
NISHIYA Momiji,Female,Gold ,Japan,Women's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1315689-nishiya-momiji.htm
LEAL Rayssa,Female,Silver ,Brazil,Women's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1351770-leal-rayssa.htm
NAKAYAMA Funa,Female,Bronze ,Japan,Women's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1315686-nakayama-funa.htm
PEATY Adam,Male,Gold ,Great Britain,Men's 100m Breaststroke,Swimming,../../../en/results/swimming/athlete-profile-n1444186-peaty-adam.htm
KAMMINGA Arno,Male,Silver ,Netherlands,Men's 100m Breaststroke,Swimming,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm
