name,gender,country,country_code,discipline,url,name_length
AIMABLE Steven,Male,Senegal,SEN,Swimming,../../../en/results/swimming/athlete-profile-n1432046-aimable-steven.htm,14
AINAGULOV Mirambek,Male,Kazakhstan,KAZ,Wrestling,../../../en/results/wrestling/athlete-profile-n1303794-ainagulov-mirambek.htm,18
AIOANI Marian,Male,Romania,ROU,Football,../../../en/results/football/athlete-profile-n1380567-aioani-marian.htm,13
AISAH Windy Cantika,Female,Indonesia,INA,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1320668-aisah-windy-cantika.htm,19
AIT DAOUD Kamel,Male,Algeria,ALG,Rowing,../../../en/results/rowing/athlete-profile-n1377687-ait-daoud-kamel.htm,15
AIT OUAGRAM Zied,Male,Morocco,MAR,Wrestling,../../../en/results/wrestling/athlete-profile-n1436405-ait-ouagram-zied.htm,16
AIT SAID Samir,Male,France,FRA,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1334960-ait-said-samir.htm,14
AITCHISON Holly,Female,Great Britain,GBR,Rugby Sevens,../../../en/results/rugby-sevens/athlete-profile-n1468795-aitchison-holly.htm,15
AIZAWA Akira,Male,Japan,JPN,Athletics,../../../en/results/athletics/athlete-profile-n1447822-aizawa-akira.htm,12
AJOMALE Bolade,Male,Canada,CAN,Athletics,../../../en/results/athletics/athlete-profile-n1432366-ajomale-bolade.htm,14
AKAHO Himawari,Female,Japan,JPN,Basketball,../../../en/results/basketball/athlete-profile-n1313636-akaho-himawari.htm,14
AKGUL Taha,Male,Turkey,TUR,Wrestling,../../../en/results/wrestling/athlete-profile-n1382412-akgul-taha.htm,10
AKGUN Omer,Male,Turkey,TUR,Shooting,../../../en/results/shooting/athlete-profile-n1340688-akgun-omer.htm,10
AKHAIMOVA Liliia,Female,ROC,ROC,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406265-akhaimova-liliia.htm,16
AKHMADIEV Ildar,Male,Tajikistan,TJK,Athletics,../../../en/results/athletics/athlete-profile-n1425601-akhmadiev-ildar.htm,15
AKHMETOVA Tatyana,Female,Kazakhstan,KAZ,Wrestling,../../../en/results/wrestling/athlete-profile-n1304038-akhmetova-tatyana.htm,17
AKHTAR Muhammad Khalil,,Pakistan,PAK,,../../../en/results/shooting/athlete-profile-n1304897-akhtar-muhammad-khalil.htm,22
AKIMENKO Mikhail,Male,ROC,ROC,Athletics,../../../en/results/athletics/athlete-profile-n1431094-akimenko-mikhail.htm,16
AKINRADEWO Foluke,Female,United States of America,USA,Volleyball,../../../en/results/volleyball/athlete-profile-n1298721-akinradewo-foluke.htm,17
AKINYI Elizabeth,Female,Kenya,KEN,Boxing,../../../en/results/boxing/athlete-profile-n1402282-akinyi-elizabeth.htm,16
AKKUS Mihrac,Male,Turkey,TUR,Judo,../../../en/results/judo/athlete-profile-n1337608-akkus-mihrac.htm,12
AKMAL Nurul,Female,Indonesia,INA,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1336872-akmal-nurul.htm,11
AKMATALIEV Ernazar,Male,Kyrgyzstan,KGZ,Wrestling,../../../en/results/wrestling/athlete-profile-n1464986-akmataliev-ernazar.htm,18
AKMENS Roberts,Male,Latvia,LAT,Canoe Sprint,../../../en/results/canoe-sprint/athlete-profile-n1466958-akmens-roberts.htm,14
AKOZ Simge Sebnem,Female,Turkey,TUR,Volleyball,../../../en/results/volleyball/athlete-profile-n1366204-akoz-simge-sebnem.htm,17
AKTAS Ugur,Male,Turkey,TUR,Karate,../../../en/results/karate/athlete-profile-n1325285-aktas-ugur.htm,10
AL ADAWI Issa Samir Hamed,Male,Oman,OMA,Swimming,../../../en/results/swimming/athlete-profile-n1317651-al-adawi-issa-samir-hamed.htm,25
AL AHRACH Ali,Male,Morocco,MAR,Equestrian,../../../en/results/equestrian/athlete-profile-n1432338-al-ahrach-ali.htm,13
AL ALAWI Mazoon,Female,Oman,OMA,Athletics,../../../en/results/athletics/athlete-profile-n1726457-al-alawi-mazoon.htm,15
AL BAWWAB Yazan,Male,Palestine,PLE,Swimming,../../../en/results/swimming/athlete-profile-n1483809-al-bawwab-yazan.htm,15
AL FAIHAN Abdulrahman,Male,Kuwait,KUW,Shooting,../../../en/results/shooting/athlete-profile-n1413045-al-faihan-abdulrahman.htm,21
